evaluation_scope,topology,p,gamma,missingness_mode,alpha_schedule,rate_low,rate_high,contrast,n_graph_seeds,precision_delta_n,precision_delta_mean,precision_delta_lo95,precision_delta_hi95,precision_delta_halfwidth95,recall_delta_n,recall_delta_mean,recall_delta_lo95,recall_delta_hi95,recall_delta_halfwidth95,f1_delta_n,f1_delta_mean,f1_delta_lo95,f1_delta_hi95,f1_delta_halfwidth95,exact_recovery_delta_n,exact_recovery_delta_mean,exact_recovery_delta_lo95,exact_recovery_delta_hi95,exact_recovery_delta_halfwidth95,fp_delta_n,fp_delta_mean,fp_delta_lo95,fp_delta_hi95,fp_delta_halfwidth95,fn_delta_n,fn_delta_mean,fn_delta_lo95,fn_delta_hi95,fn_delta_halfwidth95,trace_ci_tests_delta_n,trace_ci_tests_delta_mean,trace_ci_tests_delta_lo95,trace_ci_tests_delta_hi95,trace_ci_tests_delta_halfwidth95,trace_ci_n_eff_min_delta_n,trace_ci_n_eff_min_delta_mean,trace_ci_n_eff_min_delta_lo95,trace_ci_n_eff_min_delta_hi95,trace_ci_n_eff_min_delta_halfwidth95,trace_ci_n_eff_median_delta_n,trace_ci_n_eff_median_delta_mean,trace_ci_n_eff_median_delta_lo95,trace_ci_n_eff_median_delta_hi95,trace_ci_n_eff_median_delta_halfwidth95,trace_ci_effective_fraction_mean_delta_n,trace_ci_effective_fraction_mean_delta_mean,trace_ci_effective_fraction_mean_delta_lo95,trace_ci_effective_fraction_mean_delta_hi95,trace_ci_effective_fraction_mean_delta_halfwidth95,runtime_seconds_delta_n,runtime_seconds_delta_mean,runtime_seconds_delta_lo95,runtime_seconds_delta_hi95,runtime_seconds_delta_halfwidth95,missing_rate_realized_masked_cells_delta_n,missing_rate_realized_masked_cells_delta_mean,missing_rate_realized_masked_cells_delta_lo95,missing_rate_realized_masked_cells_delta_hi95,missing_rate_realized_masked_cells_delta_halfwidth95,complete_row_rate_delta_n,complete_row_rate_delta_mean,complete_row_rate_delta_lo95,complete_row_rate_delta_hi95,complete_row_rate_delta_halfwidth95,selected_edge_partial_corr_min_delta_n,selected_edge_partial_corr_min_delta_mean,selected_edge_partial_corr_min_delta_lo95,selected_edge_partial_corr_min_delta_hi95,selected_edge_partial_corr_min_delta_halfwidth95,selected_edge_query_retention_min_delta_n,selected_edge_query_retention_min_delta_mean,selected_edge_query_retention_min_delta_lo95,selected_edge_query_retention_min_delta_hi95,selected_edge_query_retention_min_delta_halfwidth95
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,n_inverse_half,0.1,0.3,0.3_minus_0.1,10,10,0.007843137254901933,0.0005998290629572545,0.015086445446846612,0.007243308191944678,10,0.0,0.0,0.0,0.0,10,0.003960396039604008,0.00030288398228535103,0.007617908096922666,0.003657512057318657,10,0.4,0.03059128221082008,0.76940871778918,0.36940871778917994,10,-0.4,-0.76940871778918,-0.03059128221082008,0.36940871778917994,10,0.0,0.0,0.0,0.0,10,-35.6,-63.70947100726889,-7.490528992731118,28.109471007268883,10,-979.9,-1060.433677542732,-899.366322457268,80.53367754273201,10,-800.15,-804.4555334853272,-795.8444665146727,4.3055334853272464,10,-0.33927634026983133,-0.34204000294469433,-0.33651267759496833,0.0027636626748630015,10,-0.35370276480002705,-2.119732864387202,1.4123273347871481,1.7660300995871752,10,0.19942959999999998,0.1983586933655726,0.20050050663442737,0.0010709066344273847,10,-0.00688,-0.008172402677779115,-0.005587597322220885,0.0012924026777791152,10,0.0,0.0,0.0,0.0,10,-0.3880600418303187,-0.3882603215730012,-0.38785976208763623,0.00020027974268246998
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,n_inverse_half,0.1,0.5,0.5_minus_0.1,10,10,0.009803921568627416,0.0024112511019666423,0.01719659203528819,0.007392670466660774,10,-0.0020000000000000018,-0.006524314325596416,0.0025243143255964124,0.004524314325596414,10,0.003940394039404005,0.00027030885439825215,0.007610479224409758,0.003670085185005753,10,0.4,0.03059128221082008,0.76940871778918,0.36940871778917994,10,-0.5,-0.8770261937997008,-0.12297380620029918,0.3770261937997008,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,-99.7,-129.84144625152993,-69.55855374847008,30.14144625152993,10,-1423.8,-1461.4917594615351,-1386.1082405384648,37.691759461535135,10,-1399.6,-1403.4032955292134,-1395.7967044707864,3.8032955292136412,10,-0.5704045942150807,-0.5725259194743791,-0.5682832689557823,0.002121325259298376,10,-0.928585682999892,-1.846806711097333,-0.010364654902450976,0.918221028097441,10,0.3999664,0.39901744161037106,0.40091535838962894,0.0009489583896289198,10,-0.00688,-0.008172402677779115,-0.005587597322220885,0.0012924026777791152,10,0.0,0.0,0.0,0.0,10,-0.6072234851438146,-0.6075368762437633,-0.606910094043866,0.0003133910999487019
global_whole_skeleton,random_regular_d2,50,1.0,self_masking_gaussian_preserving,n_inverse_half,0.3,0.5,0.5_minus_0.3,10,10,0.0019607843137254832,-0.0024748179662709806,0.006396386593721947,0.004435602279996464,10,-0.0020000000000000018,-0.006524314325596416,0.0025243143255964124,0.004524314325596414,10,-2.000200020000342e-05,-6.524966822273227e-05,2.5245667822725437e-05,4.524766802272886e-05,10,0.0,0.0,0.0,0.0,10,-0.1,-0.3262157162798205,0.12621571627982048,0.22621571627982048,10,0.1,-0.12621571627982048,0.3262157162798205,0.22621571627982048,10,-64.1,-90.46693809521393,-37.733061904786055,26.366938095213943,10,-443.9,-548.6055163308286,-339.1944836691714,104.70551633082857,10,-599.45,-601.5857793457022,-597.3142206542979,2.135779345702141,10,-0.23112825394524936,-0.23290584156626376,-0.22935066632423495,0.001777587621014415,10,-0.5748829181998649,-2.1172216607536094,0.9674558243538796,1.5423387425537445,10,0.20053680000000002,0.2000720808965542,0.20100151910344582,0.00046471910344581533,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.21916344331349585,-0.2192765546707621,-0.2190503319562296,0.00011311135726624955
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,n_inverse_half,0.1,0.3,0.3_minus_0.1,10,10,0.012735956633927237,0.006127752151555128,0.019344161116299344,0.006608204482372109,10,0.0,0.0,0.0,0.0,10,0.006433253427541174,0.003085227264038013,0.009781279591044335,0.003348026163503161,10,0.7,0.3544497855863562,1.0455502144136437,0.34555021441364375,10,-1.3,-1.9786471488394615,-0.6213528511605386,0.6786471488394614,10,0.0,0.0,0.0,0.0,10,-87.0,-122.04032034679288,-51.95967965320712,35.04032034679288,10,-1901.9,-2063.3040108491623,-1740.495989150838,161.404010849162,10,-1601.35,-1602.7612065755457,-1599.9387934244542,1.41120657554568,10,-0.3325288844463798,-0.33283692106504303,-0.33222084782771655,0.00030803661866326073,10,-0.3900007540996288,-5.064646153955546,4.284644645756289,4.674645399855917,10,0.1999974,0.19973696462703616,0.20025783537296382,0.00026043537296383147,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.3878396299423753,-0.38806022141868846,-0.38761903846606216,0.00022059147631315576
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,n_inverse_half,0.1,0.5,0.5_minus_0.1,10,10,0.014716154653729241,0.008813929297539914,0.020618380009918568,0.005902225356189327,10,0.0,0.0,0.0,0.0,10,0.007428278303163061,0.004433526441659883,0.010423030164666239,0.0029947518615031773,10,0.9,0.6737842837201795,1.1262157162798205,0.22621571627982048,10,-1.5,-2.1079364704546295,-0.8920635295453704,0.6079364704546296,10,0.0,0.0,0.0,0.0,10,-169.5,-231.31137188697807,-107.68862811302193,61.81137188697807,10,-2832.1,-2937.1503233432345,-2727.0496766567653,105.05032334323438,10,-2799.1,-2802.921937418816,-2795.278062581184,3.8219374188162156,10,-0.5668757403797517,-0.5679328432141831,-0.5658186375453204,0.001057102834431381,10,-3.2166143781999827,-5.038039467096096,-1.3951892893038695,1.8214250888961132,10,0.399946,0.39928241196320563,0.4006095880367944,0.0006635880367943738,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.6068785919305559,-0.6072237661577402,-0.6065334177033717,0.0003451742271843226
global_whole_skeleton,random_regular_d2,100,1.0,self_masking_gaussian_preserving,n_inverse_half,0.3,0.5,0.5_minus_0.3,10,10,0.001980198019802004,-0.0010061480697006126,0.004966544109304621,0.0029863460895026167,10,0.0,0.0,0.0,0.0,10,0.000995024875621886,-0.0005055768907450756,0.0024956266419888474,0.0015006017663669615,10,0.2,-0.10162095503976065,0.5016209550397607,0.30162095503976066,10,-0.2,-0.5016209550397607,0.10162095503976065,0.30162095503976066,10,0.0,0.0,0.0,0.0,10,-82.5,-127.76230469650861,-37.23769530349139,45.26230469650861,10,-930.2,-1119.5037368191047,-740.8962631808954,189.30373681910467,10,-1197.75,-1201.3946948793139,-1194.1053051206861,3.6446948793138114,10,-0.23434685593337198,-0.23532653689858407,-0.2333671749681599,0.000979680965212098,10,-2.826613624100354,-6.496858393619386,0.8436311454186782,3.6702447695190323,10,0.19994859999999998,0.19929340352026795,0.200603796479732,0.0006551964797320374,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.2190389619881806,-0.21916354473905175,-0.21891437923730944,0.0001245827508711625
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,n_inverse_half,0.1,0.3,0.3_minus_0.1,10,10,0.011689291101055776,0.0020010684831624336,0.021377513718949116,0.009688222617893342,10,0.0,0.0,0.0,0.0,10,0.005921180353329491,0.0009996833229429418,0.01084267738371604,0.0049214970303865496,10,0.5,0.12297380620029918,0.8770261937997008,0.3770261937997008,10,-0.6,-1.1001817683877708,-0.09981823161222925,0.5001817683877707,10,0.0,0.0,0.0,0.0,10,-44.1,-75.8588568796979,-12.3411431203021,31.758856879697902,10,-1041.6,-1053.806335840462,-1029.3936641595378,12.20633584046218,10,-802.3,-806.2333789594036,-798.3666210405963,3.9333789594036053,10,-0.34236308782457303,-0.34469297408155597,-0.3400332015675901,0.00232988625698294,10,-0.7741283656000177,-2.2952895432278866,0.7470328120278511,1.5211611776278688,10,0.19978400000000002,0.19882918028956145,0.20073881971043858,0.0009548197104385674,10,-0.00668,-0.0082417442575265,-0.0051182557424735,0.0015617442575265002,10,0.0,0.0,0.0,0.0,10,-0.4184322583138207,-0.4267983629031172,-0.4100661537245242,0.008366104589296496
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,n_inverse_half,0.1,0.5,0.5_minus_0.1,10,10,0.011689291101055776,-4.028343499500216e-05,0.023418865637106552,0.011729574536050778,10,-0.008000000000000007,-0.01800363536775543,0.0020036353677554165,0.010003635367755424,10,0.0018601620065968772,-0.006241866882041266,0.00996219089523502,0.008102028888638143,10,0.2,-0.4573676311362707,0.8573676311362708,0.6573676311362707,10,-0.6,-1.2032419100795213,0.0032419100795213485,0.6032419100795213,10,0.4,-0.10018176838777082,0.9001817683877709,0.5001817683877708,10,-134.8,-169.45492204655213,-100.1450779534479,34.654922046552116,10,-1470.0,-1492.0719776816616,-1447.9280223183384,22.071977681661558,10,-1400.2,-1404.0419690634133,-1396.3580309365868,3.8419690634131274,10,-0.5716835102897961,-0.5739525629187215,-0.5694144576608707,0.002269052628925429,10,-1.0658401902997408,-2.0283196563204537,-0.10336072427902798,0.9624794660207128,10,0.4001944,0.3993104043980337,0.4010783956019663,0.0008839956019662554,10,-0.00668,-0.0082417442575265,-0.0051182557424735,0.0015617442575265002,10,0.0,0.0,0.0,0.0,10,-0.5979355682074989,-0.6036866157738845,-0.5921845206411134,0.005751047566385519
global_whole_skeleton,small_world_k2,50,1.0,self_masking_gaussian_preserving,n_inverse_half,0.3,0.5,0.5_minus_0.3,10,10,0.0,-0.0066122054794834325,0.0066122054794834325,0.0066122054794834325,10,-0.008000000000000007,-0.01800363536775543,0.0020036353677554165,0.010003635367755424,10,-0.004061018346732614,-0.010148301867546627,0.002026265174081397,0.0060872835208140115,10,-0.3,-0.7828291119331836,0.18282911193318369,0.4828291119331837,10,0.0,-0.33722247945365624,0.33722247945365624,0.33722247945365624,10,0.4,-0.10018176838777082,0.9001817683877709,0.5001817683877708,10,-90.7,-122.2335476536302,-59.16645234636981,31.53354765363019,10,-428.4,-450.86063736136003,-405.9393626386399,22.460637361360078,10,-597.9,-600.1734398121549,-595.626560187845,2.2734398121549684,10,-0.22932042246522316,-0.2312289201172576,-0.22741192481318873,0.001908497652034439,10,-0.2917118246997231,-1.8475378237144597,1.2641141743150137,1.5558259990147367,10,0.2004104,0.19980098801581533,0.20101981198418464,0.0006094119841846677,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.1795033098936782,-0.19269293253370642,-0.16631368725364995,0.013189622640028242
global_whole_skeleton,small_world_k2,100,1.0,self_masking_gaussian_preserving,n_inverse_half,0.1,0.3,0.3_minus_0.1,10,10,0.015537077082106509,0.004737098433979025,0.026337055730233993,0.010799978648127484,10,0.0,0.0,0.0,0.0,10,0.007882178807884077,0.002363730995693856,0.0134006266200743,0.0055184478121902214,10,0.7,0.3544497855863562,1.0455502144136437,0.34555021441364375,10,-1.6,-2.7285622744303315,-0.4714377255696687,1.1285622744303314,10,0.0,0.0,0.0,0.0,10,-107.5,-231.18401608549777,16.184016085497774,123.68401608549777,10,-2121.5,-2147.7844318693037,-2095.2155681306963,26.284431869303504,10,-1600.65,-1602.6595885177178,-1598.6404114822824,2.009588517717757,10,-0.33562403287515485,-0.33739563833046043,-0.3338524274198493,0.0017716054553055542,10,-3.8625537904999887,-9.06007656437209,1.334968983372113,5.197522773872102,10,0.1998176,0.1995187091563287,0.20011649084367134,0.00029889084367130974,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,-0.424620186660656,-0.4288659959517933,-0.42037437736951866,0.004245809291137343
